"symbol" "EntrezID" "CGC" "Kandothetal"
"FIP1L1" 81608 TRUE FALSE
"FLI1" 2313 TRUE FALSE
"C15orf65" 145788 TRUE FALSE
"FLT3" 2322 TRUE TRUE
"FNBP1" 23048 TRUE FALSE
"FOXL2" 668 TRUE FALSE
"FOXO1" 2308 TRUE FALSE
"FOXO3" 2309 TRUE FALSE
"FOXP1" 27086 TRUE FALSE
"FSTL3" 10272 TRUE FALSE
"FUBP1" 8880 TRUE FALSE
"FUS" 2521 TRUE FALSE
"KDSR" 2531 TRUE FALSE
"GAS7" 8522 TRUE FALSE
"GATA1" 2623 TRUE FALSE
"GATA2" 2624 TRUE FALSE
"GATA3" 2625 TRUE TRUE
"GMPS" 8833 TRUE FALSE
"GNA11" 2767 TRUE FALSE
"GNAQ" 2776 TRUE FALSE
"GNAS" 2778 TRUE FALSE
"GOLGA5" 9950 TRUE FALSE
"GOPC" 57120 TRUE FALSE
"GPC3" 2719 TRUE FALSE
"GPHN" 10243 TRUE FALSE
"ARHGAP26" 23092 TRUE FALSE
"H3F3A" 3020 TRUE FALSE
"SPECC1" 92521 TRUE FALSE
"CLP1" 10978 TRUE FALSE
"HERPUD1" 9709 TRUE FALSE
"HEY1" 23462 TRUE FALSE
"HIP1" 3092 TRUE FALSE
"HIST1H4I" 8294 TRUE FALSE
"HLF" 3131 TRUE FALSE
"MNX1" 3110 TRUE FALSE
"HMGA1" 3159 TRUE FALSE
"HMGA2" 8091 TRUE FALSE
"HNRNPA2B1" 3181 TRUE FALSE
"HOOK3" 84376 TRUE FALSE
"HOXA11" 3207 TRUE FALSE
"HOXA13" 3209 TRUE FALSE
"HOXA9" 3205 TRUE FALSE
"HOXC11" 3227 TRUE FALSE
"HOXC13" 3229 TRUE FALSE
"HOXD11" 3237 TRUE FALSE
"HOXD13" 3239 TRUE FALSE
"HRAS" 3265 TRUE FALSE
"HRPT2" 3279 TRUE FALSE
"HSP90AA1" 3320 TRUE FALSE
"HSP90AB1" 3326 TRUE FALSE
"IDH1" 3417 TRUE TRUE
"IDH2" 3418 TRUE TRUE
"IGH" 3492 TRUE FALSE
"IGK" 50802 TRUE FALSE
"IGL" 3535 TRUE FALSE
"IKZF1" 10320 TRUE FALSE
"IL2" 3558 TRUE FALSE
"IL21R" 50615 TRUE FALSE
"IL6ST" 3572 TRUE FALSE
"IL7R" 3575 TRUE FALSE
"IRF4" 3662 TRUE FALSE
"FCRL4" 83417 TRUE FALSE
"ITK" 3702 TRUE FALSE
"JAK1" 3716 TRUE FALSE
"JAK2" 3717 TRUE FALSE
"JAK3" 3718 TRUE FALSE
"JAZF1" 221895 TRUE FALSE
"JUN" 3725 TRUE FALSE
"KDM5A" 5927 TRUE FALSE
"KDM5C" 8242 TRUE TRUE
"KDM6A" 7403 TRUE TRUE
"KDR" 3791 TRUE FALSE
"KIAA1549" 57670 TRUE FALSE
"KIF5B" 3799 TRUE FALSE
"KIT" 3815 TRUE TRUE
"KLK2" 3817 TRUE FALSE
"KRAS" 3845 TRUE TRUE
"KTN1" 3895 TRUE FALSE
"AFF3" 3899 TRUE FALSE
"LASP1" 3927 TRUE FALSE
"LCK" 3932 TRUE FALSE
"LCP1" 3936 TRUE FALSE
"TET1" 80312 TRUE FALSE
"LHFP" 10186 TRUE FALSE
"LIFR" 3977 TRUE TRUE
"LMO1" 4004 TRUE FALSE
"LMO2" 4005 TRUE FALSE
"LPP" 4026 TRUE FALSE
"LRIG3" 121227 TRUE FALSE
"LYL1" 4066 TRUE FALSE
"SMAD4" 4089 TRUE TRUE
"MAF" 4094 TRUE FALSE
"MAFB" 9935 TRUE FALSE
"MALT1" 10892 TRUE FALSE
"MAML2" 84441 TRUE FALSE
"MAP2K1" 5604 TRUE FALSE
"MAP2K2" 5605 TRUE FALSE
"MAP2K4" 6416 TRUE TRUE
"MDM2" 4193 TRUE FALSE
"MDM4" 4194 TRUE FALSE
"MDS2" 259283 TRUE FALSE
"CRTC1" 23373 TRUE FALSE
"MED12" 9968 TRUE FALSE
"MEN1" 4221 TRUE FALSE
"MET" 4233 TRUE FALSE
"MITF" 4286 TRUE FALSE
"MKL1" 57591 TRUE FALSE
"MLF1" 4291 TRUE FALSE
"MLH1" 4292 TRUE FALSE
"KMT2A" 4297 TRUE FALSE
"KMT2D" 8085 TRUE TRUE
"KMT2C" 58508 TRUE TRUE
"MLLT1" 4298 TRUE FALSE
"MLLT10" 8028 TRUE FALSE
"AFF1" 4299 TRUE FALSE
"MLLT3" 4300 TRUE FALSE
"MLLT4" 4301 TRUE FALSE
"MLLT6" 4302 TRUE FALSE
"FOXO4" 4303 TRUE FALSE
"MN1" 4330 TRUE FALSE
"MPL" 4352 TRUE FALSE
"SEPT9" 10801 TRUE FALSE
"MSH2" 4436 TRUE FALSE
"MSH6" 2956 TRUE FALSE
"MSI2" 124540 TRUE FALSE
"MSN" 4478 TRUE FALSE
"MTCP1" 4515 TRUE FALSE
"MUC1" 4582 TRUE FALSE
"MUTYH" 4595 TRUE FALSE
"MYB" 4602 TRUE FALSE
"MYC" 4609 TRUE FALSE
"MYCL" 4610 TRUE FALSE
"MYCN" 4613 TRUE FALSE
"MYD88" 4615 TRUE FALSE
"MYH11" 4629 TRUE FALSE
"MYH9" 4627 TRUE FALSE
"KAT6B" 23522 TRUE FALSE
"NACA" 4666 TRUE FALSE
"NBN" 4683 TRUE FALSE
"NCOA1" 8648 TRUE FALSE
"NCOA2" 10499 TRUE FALSE
"NCOA4" 8031 TRUE FALSE
"NDRG1" 10397 TRUE FALSE
"NF1" 4763 TRUE TRUE
"NF2" 4771 TRUE FALSE
"NFE2L2" 4780 TRUE TRUE
"NFIB" 4781 TRUE FALSE
"NFKB2" 4791 TRUE FALSE
"NIN" 51199 TRUE FALSE
"NKX2-1" 7080 TRUE FALSE
"NONO" 4841 TRUE FALSE
"NOTCH1" 4851 TRUE TRUE
"NOTCH2" 4853 TRUE FALSE
"NPM1" 4869 TRUE TRUE
"NR4A3" 8013 TRUE FALSE
"NRAS" 4893 TRUE TRUE
"NSD1" 64324 TRUE TRUE
"NTRK1" 4914 TRUE FALSE
"NTRK3" 4916 TRUE FALSE
"NUMA1" 4926 TRUE FALSE
"NUP214" 8021 TRUE FALSE
"NUP98" 4928 TRUE FALSE
"OLIG2" 10215 TRUE FALSE
"OMD" 4958 TRUE FALSE
"P2RY8" 286530 TRUE FALSE
"PAFAH1B2" 5049 TRUE FALSE
"PALB2" 79728 TRUE FALSE
"PAX3" 5077 TRUE FALSE
"PAX5" 5079 TRUE FALSE
"PAX7" 5081 TRUE FALSE
"PAX8" 7849 TRUE FALSE
"PBRM1" 55193 TRUE TRUE
"PBX1" 5087 TRUE FALSE
"PCM1" 5108 TRUE FALSE
"PCSK7" 9159 TRUE FALSE
"PDE4DIP" 9659 TRUE FALSE
"PDGFB" 5155 TRUE FALSE
"PDGFRA" 5156 TRUE TRUE
"PDGFRB" 5159 TRUE FALSE
"PER1" 5187 TRUE FALSE
"PHF6" 84295 TRUE TRUE
"PHOX2B" 8929 TRUE FALSE
"PICALM" 8301 TRUE FALSE
"PIK3CA" 5290 TRUE TRUE
"PIK3R1" 5295 TRUE TRUE
"PIM1" 5292 TRUE FALSE
"PLAG1" 5324 TRUE FALSE
"PML" 5371 TRUE FALSE
"PMS1" 5378 TRUE FALSE
"PMS2" 5395 TRUE FALSE
"PRRX1" 5396 TRUE FALSE
"SEPT5" 5413 TRUE FALSE
"POU2AF1" 5450 TRUE FALSE
"POU5F1" 5460 TRUE FALSE
"PPARG" 5468 TRUE FALSE
"PPP2R1A" 5518 TRUE TRUE
"PRCC" 5546 TRUE FALSE
"PRDM1" 639 TRUE FALSE
"PRDM16" 63976 TRUE FALSE
